Date,Vorgod Å - Vandmøllen (055416),Skjern Å - Sandfeldvej (055414),Skjern Å - Alergaard (001862),Skjern Å - Gjaldbæk bro (017898),Rind Å - Arnborg kirke (054757),Omme Å - Sønderskov bro (001855),Fjederholt Å - A18 (052386)
2020-07-03T19:00:00Z,0.579881172180176,0.8646465301513669,-4.55999578475952,0.774110565185547,0.7438043975830081,-1.8757803039550782,0.445
2020-07-03T18:45:00Z,0.579179267883301,0.864376983642578,-4.56185415267944,0.7719297790527341,0.743028259277344,-1.8758498840332032,0.445
2020-07-03T18:30:00Z,0.579302101135254,0.8643471527099611,-4.56198225021362,0.774855117797852,0.742446136474609,-1.876055191040039,0.445
2020-07-03T18:15:00Z,0.5774385452270511,0.8642803192138669,-4.55998731613159,0.7745915222167971,0.742446136474609,-1.8758071594238281,0.445
2020-07-03T18:00:00Z,0.5775922012329101,0.864479522705078,-4.56212400436401,0.7751902008056639,0.74128173828125,-1.875777252197266,0.445
2020-07-03T17:45:00Z,0.576996650695801,0.864379730224609,-4.55570478439331,0.776767578125,0.7439984893798831,-1.8752994995117191,0.445
2020-07-03T17:30:00Z,0.5776568984985351,0.8644754028320311,-4.5579461479187,0.776226959228516,0.74225212097168,-1.8752214508056642,0.444
2020-07-03T17:15:00Z,0.577846412658691,0.86474983215332,-4.559921169281,0.776951599121094,0.74128173828125,-1.875156219482422,0.444
2020-07-03T17:00:00Z,0.577679557800293,0.8647216033935551,-4.557468395233149,0.775580825805664,0.74225212097168,-1.87516552734375,0.444
2020-07-03T16:45:00Z,0.577856101989746,0.864849548339844,-4.55547483444214,0.778075866699219,0.7401174926757811,-1.874827697753906,0.444
2020-07-03T16:30:00Z,0.576767387390137,0.865000915527344,-4.55369359970092,0.775693435668945,0.7438043975830081,-1.8749203948974613,0.444
2020-07-03T16:15:00Z,0.577340507507324,0.8653524780273439,-4.55756383895874,0.7776785278320311,0.741864013671875,-1.874704483032227,0.444
2020-07-03T16:00:00Z,0.576384773254395,0.8654491424560551,-4.5583701133728,0.7764299774169919,0.743610382080078,-1.874777420043945,0.444
2020-07-03T15:45:00Z,0.575528984069824,0.86569953918457,-4.55970724105835,0.778272323608398,0.743028259277344,-1.8743362884521482,0.443
2020-07-03T15:30:00Z,0.57353343963623,0.865978240966797,-4.554506664276119,0.779408493041992,0.741864013671875,-1.874176147460937,0.444
2020-07-03T15:15:00Z,0.570932960510254,0.8660562896728521,-4.5541383171081495,0.777133941650391,0.743416366577148,-1.8737366943359373,0.444
2020-07-03T15:00:00Z,0.5710998153686521,0.8661803436279301,-4.54975706100464,0.776871032714844,0.744580612182617,-1.873645370483398,0.444
2020-07-03T14:45:00Z,0.5712351608276369,0.866523742675781,-4.55395292282104,0.780282821655273,0.7439984893798831,-1.873703125,0.444
2020-07-03T14:30:00Z,0.570685005187988,0.866553192138672,-4.558240032196039,0.778775939941406,0.742834243774414,-1.8727135162353523,0.443
2020-07-03T14:15:00Z,0.57059741973877,0.866878662109375,-4.55490949630737,0.777580032348633,0.742834243774414,-1.8722310333251952,0.443
2020-07-03T14:00:00Z,0.5698534774780271,0.867190780639648,-4.55602796554565,0.783234100341797,0.742446136474609,-1.871837661743164,0.444
2020-07-03T13:45:00Z,0.5700632095336909,0.867257919311523,-4.559126186370849,0.7817682647705081,0.74128173828125,-1.871794631958008,0.444
2020-07-03T13:30:00Z,0.569364051818848,0.86703125,-4.55517126083374,0.782582244873047,0.74225212097168,-1.8710152893066412,0.444
2020-07-03T13:15:00Z,0.568151512145996,0.867344284057617,-4.55365591049194,0.781859893798828,0.742058029174805,-1.870402954101562,0.443
